Time,MarkerID,Error,PID_Out(step_deg),Note
1754648557.9152722,?,0.057030000000000025,0.15184570362771593,tracking
1754648557.9463856,?,0.057030000000000025,0.2281200000000001,tracking
1754648557.9779956,?,0.05547000000000002,0.14785282164999752,tracking
1754648558.0091383,?,0.05547000000000002,0.22188000000000008,tracking
1754648558.0422108,?,0.05547000000000002,0.22188000000000008,tracking
1754648558.073028,?,0.05391000000000001,0.1397085505620583,tracking
1754648558.1027493,?,0.05234000000000005,0.13012379014920805,tracking
1754648558.134074,?,0.05156000000000005,0.16888919374357808,tracking
1754648558.1650822,?,0.05156000000000005,0.2062400000000002,tracking
1754648558.1997528,?,0.050000000000000044,0.13250764095475825,tracking
1754648558.2277684,?,0.050000000000000044,0.20000000000000018,tracking
1754648558.25872,?,0.04844000000000004,0.11815784809736546,tracking
1754648558.2902122,?,0.04844000000000004,0.19376000000000015,tracking
1754648558.3221784,?,0.047660000000000036,0.1540388508010382,tracking
1754648558.3531582,?,0.047660000000000036,0.19064000000000014,tracking
1754648558.3840609,?,0.04688000000000003,0.14965913759981483,tracking
1754648558.4148939,?,0.04688000000000003,0.18752000000000013,tracking
1754648558.4458156,?,0.04530999999999996,0.10507988650294561,tracking
1754648558.4773977,?,0.04530999999999996,0.18123999999999985,tracking
1754648558.5079665,?,0.043749999999999956,0.09845145762976204,tracking
1754648558.5388114,?,0.043749999999999956,0.17499999999999982,tracking
1754648558.569328,?,0.04296999999999995,0.1335402418825585,tracking
1754648558.600832,?,0.04296999999999995,0.1718799999999998,tracking
1754648558.6308846,?,0.04140999999999995,0.08777668099960283,tracking
1754648558.6615055,?,0.04140999999999995,0.1656399999999998,tracking
1754648558.692513,?,0.04061999999999999,0.12426347437622745,tracking
1754648558.7241738,?,0.04061999999999999,0.16247999999999996,tracking
1754648558.755165,?,0.03983999999999999,0.1216074887488747,tracking
1754648558.7867858,?,0.03983999999999999,0.15935999999999995,tracking
1754648558.8186984,?,0.03827999999999998,0.07979465046955161,tracking
1754648558.8495274,?,0.03827999999999998,0.15311999999999992,tracking
1754648558.8809657,?,0.03749999999999998,0.11278430723028599,tracking
1754648558.9126647,?,0.03749999999999998,0.1499999999999999,tracking
1754648558.942954,?,0.03593999999999997,0.06650528025943932,tracking
1754648558.974015,?,0.03593999999999997,0.1437599999999999,tracking
1754648559.0048554,?,0.03593999999999997,0.1437599999999999,tracking
1754648559.0048554,?,0.03593999999999997,0.1437599999999999,timeout
1754648559.0048554,3,0.35078,6.0,tracking
1754648559.0361798,3,0.35078,1.40312,tracking
1754648559.0675352,3,0.34922,1.3222516611159265,tracking
1754648559.097985,3,0.34922,1.39688,tracking
1754648559.1295307,3,0.34765999999999997,1.316461759477598,tracking
1754648559.1600225,3,0.34765999999999997,1.3906399999999999,tracking
1754648559.1909168,3,0.34765999999999997,1.3906399999999999,tracking
1754648559.2220154,3,0.3125,-0.4458960491271631,tracking
1754648559.2526371,3,0.3125,1.25,tracking
1754648559.2841816,3,0.30156000000000005,0.686021654485404,tracking
1754648559.3153546,3,0.30156000000000005,1.2062400000000002,tracking
1754648559.345649,3,0.28828,0.4955731285021686,tracking
1754648559.376678,3,0.28828,1.15312,tracking
1754648559.4084625,3,0.28437,0.9529562968630466,tracking
1754648559.4390354,3,0.27656000000000003,0.7230573984652826,tracking
1754648559.469572,3,0.27656000000000003,1.1062400000000001,tracking
1754648559.5008042,3,0.26875000000000004,0.6999053691305918,tracking
1754648559.5321047,3,0.26875000000000004,1.0750000000000002,tracking
1754648559.5631683,3,0.26093999999999995,0.666629971908814,tracking
1754648559.5946,3,0.26093999999999995,1.0437599999999998,tracking
1754648559.6253662,3,0.25703,0.8374890245887044,tracking
1754648559.656232,3,0.25703,1.02812,tracking
1754648559.686081,3,0.24922,0.6044020946523432,tracking
1754648559.7170103,3,0.24922,0.99688,tracking
1754648559.7483246,3,0.23984000000000005,0.510045559227059,tracking
1754648559.779445,3,0.23984000000000005,0.9593600000000002,tracking
1754648559.8105628,3,0.23202999999999996,0.5516487748816208,tracking
1754648559.8420365,3,0.22734,0.6858395951821844,tracking
1754648559.8727427,3,0.22734,0.90936,tracking
1754648559.906586,3,0.22109,0.6073478336585685,tracking
1754648559.9348295,3,0.22109,0.88436,tracking
